NU_INSCRICAO;NU_ANO;TP_COR_RACA;CO_MUNICIPIO_PROVA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;Q007;Q021;Q020;Q023
210053485599;2021;1;3541000;496,3;512,6;452,7;597,1;540,0;C;B;B;-
210051676117;2021;1;3541000;471,2;538,4;491,8;360,4;520,0;A;A;B;-
210052405371;2021;1;3541000;;;;;;D;B;B;-
210054337814;2021;1;3541000;;;;;;H;C;B;-
210052385396;2021;3;3541000;356,2;434,0;456,7;600,1;500,0;F;B;B;-
210053969051;2021;1;3541000;;;;;;D;A;B;-
210051030226;2021;1;3541000;351,2;457,9;512,2;559,4;0,0;H;C;B;-
210052869721;2021;4;3541000;511,9;656,9;600,2;588,6;700,0;B;B;B;-
210053913070;2021;3;3541000;376,7;514,0;539,6;703,6;820,0;F;A;B;-
210053523908;2021;3;3541000;479,6;559,4;562,5;726,6;820,0;B;B;B;-
210053931137;2021;1;3541000;;;;;;G;E;B;-
210051374846;2021;3;3541000;;392,5;472,8;;480,0;F;A;B;-
210052450437;2021;3;3541000;489,9;622,0;577,3;626,7;740,0;G;B;B;-
210054377362;2021;1;3541000;681,2;678,2;614,7;771,1;880,0;K;C;B;-
210052113717;2021;3;3541000;531,3;604,4;540,9;617,3;620,0;C;B;B;-
210054212398;2021;2;3541000;489,7;639,1;520,4;380,4;600,0;B;A;B;-
210052851446;2021;2;3541000;;379,9;548,6;;540,0;A;A;B;-
210052029252;2021;3;3541000;;543,1;484,4;;560,0;C;A;B;-
210053100221;2021;1;3541000;502,3;585,1;570,8;657,0;660,0;F;B;B;-
210051142260;2021;1;3541000;511,2;624,9;571,1;548,9;480,0;D;C;B;-
210053537624;2021;1;3541000;530,0;621,4;556,3;573,9;520,0;F;A;B;-
210052667112;2021;1;3541000;494,8;526,1;480,5;400,4;480,0;D;B;B;-
210051111225;2021;1;3541000;594,3;607,2;605,6;726,2;740,0;H;D;B;-
210052825351;2021;3;3541000;480,6;435,7;505,9;556,1;860,0;F;C;B;-
210052451671;2021;3;3541000;424,8;504,4;502,4;466,9;620,0;C;A;B;-
210053913042;2021;1;3541000;452,6;506,9;477,3;455,8;540,0;A;B;B;-
210052260172;2021;1;3541000;450,9;486,1;513,6;603,3;680,0;I;B;B;-
210051782037;2021;3;3541000;;;;;;C;A;B;-
210052899928;2021;3;3541000;602,2;390,2;490,3;540,3;520,0;D;B;B;-
210051606445;2021;2;3541000;;;;;;D;B;B;-
210053919311;2021;3;3541000;;;;;;B;A;B;-
210053951420;2021;3;3541000;488,9;539,2;571,4;445,7;820,0;B;B;B;-
210052027088;2021;1;3541000;534,5;622,6;573,1;753,3;960,0;G;C;B;-
210054384754;2021;1;3541000;387,5;338,2;359,2;406,3;540,0;C;C;B;-
210051237673;2021;1;3541000;;525,8;557,2;;780,0;D;A;B;-
210051704965;2021;3;3541000;448,6;579,0;529,7;459,4;520,0;D;B;B;-
210051228039;2021;3;3541000;526,5;512,4;509,6;613,1;880,0;D;A;B;-
210052262508;2021;3;3541000;;;;;;D;A;B;-
210051165373;2021;1;3541000;448,4;550,2;595,7;629,2;620,0;D;B;B;-
210052840379;2021;1;3541000;368,5;470,8;452,1;414,3;580,0;H;B;B;-
210052786634;2021;1;3541000;458,2;500,6;454,9;533,2;740,0;B;A;B;-
210053885656;2021;2;3541000;468,4;438,2;524,5;671,9;680,0;E;B;B;-
210052933780;2021;1;3541000;;;;;;F;B;B;-
210053936282;2021;1;3541000;;;;;;B;B;B;-
210054372115;2021;3;3541000;458,4;429,4;442,8;468,0;520,0;C;A;B;-
210054401057;2021;1;3541000;;;;;;H;B;B;-
210051376993;2021;3;3541000;532,3;580,2;569,3;408,9;640,0;C;A;B;-
210052020709;2021;3;3541000;351,2;528,8;538,6;388,1;380,0;D;B;B;-
210051244258;2021;1;3541000;404,0;559,8;516,6;472,7;660,0;D;B;B;-
210053924150;2021;3;3541000;531,9;538,8;544,3;560,1;580,0;G;C;B;-
210052821030;2021;1;3541000;401,0;557,7;462,3;386,8;620,0;D;B;B;-
210052338411;2021;1;3541000;;;;;;I;B;B;-
210052465270;2021;3;3541000;478,4;556,7;502,7;590,5;740,0;B;A;B;-
210052050780;2021;1;3541000;;;;;;B;B;B;-
210052365773;2021;2;3541000;539,1;639,9;628,3;693,2;860,0;E;B;B;-
210051550549;2021;3;3541000;637,0;661,2;587,7;583,6;920,0;B;B;B;-
210054343356;2021;2;3541000;537,4;459,6;538,4;507,4;680,0;F;E;B;-
210053945749;2021;3;3541000;443,1;500,4;514,4;481,6;420,0;G;B;B;-
210051585254;2021;1;3541000;439,3;585,8;516,3;436,3;760,0;B;B;B;-
